"name","results","se","(lower","upper)","missInfo","race","percentile"
"2:networth.0.45",25040,4106.13014945229,16853.6210711999,33226.3789288001,"26 %","Black",0.45
"3:networth.0.45",39372,6726.47586724809,26176.0160439497,52567.9839560503,"6 %","Latino",0.45
"1:networth.0.46",234159.2,11172.5865896938,211887.327370151,256431.07262985,"26 %","white",0.46
"2:networth.0.46",27812,4889.55650817435,18159.7751534344,37464.2248465656,"16 %","Black",0.46
"3:networth.0.46",42768,8207.36937570079,26467.570923052,59068.429076948,"23 %","Latino",0.46
"1:networth.0.47",248530,10739.3293027092,227395.747276529,269664.252723471,"12 %","white",0.47
"2:networth.0.47",30752,6320.80007502802,18302.125489245,43201.874510755,"13 %","Black",0.47
"3:networth.0.47",47712,8510.99436835273,31010.8988090037,64413.1011909963,"6 %","Latino",0.47
"1:networth.0.48",259920,10109.6687118266,239564.529981703,280275.470018297,"33 %","white",0.48
"2:networth.0.48",34482,7735.91795673848,19291.3908559122,49672.6091440878,"8 %","Black",0.48
"3:networth.0.48",52652,10053.9646011992,32669.9529119288,72634.0470880712,"23 %","Latino",0.48
"1:networth.0.49",272602,11314.8793777613,249307.701161845,295896.298838155,"44 %","white",0.49
"2:networth.0.49",38070,9460.67181354996,19407.5660137144,56732.4339862856,"15 %","Black",0.49
"3:networth.0.49",58570,9409.77816930913,40095.0087336633,77044.9912663367,"8 %","Latino",0.49
"1:networth.0.5",284000.2,12168.1792390072,259296.770170428,308703.629829572,"37 %","white",0.5
"2:networth.0.5",45174.2,10871.8722959657,23518.0637066992,66830.3362933008,"25 %","Black",0.5
"3:networth.0.5",63958,10274.2330547124,43316.7756053341,84599.2243946659,"31 %","Latino",0.5
"1:networth.0.51",294498,9887.03779111641,274717.575696211,314278.424303789,"28 %","white",0.51
"2:networth.0.51",52938,10518.1676441091,32116.3126090498,73759.6873909502,"19 %","Black",0.51
"3:networth.0.51",67842,9080.7631373641,49739.5374797642,85944.4625202358,"26 %","Latino",0.51
"1:networth.0.52",306009.64,12625.7970783723,279896.351914511,332122.92808549,"46 %","white",0.52
"2:networth.0.52",59219,9727.72980093032,40117.8569678029,78320.1430321971,"8 %","Black",0.52
"3:networth.0.52",72178,8035.82058563307,56407.5068249648,87948.4931750352,"7 %","Latino",0.52
"1:networth.0.53",321144.4,11128.6098777226,299165.697535865,343123.102464135,"17 %","white",0.53
"2:networth.0.53",64594,10342.0274804811,44111.4923833666,85076.5076166334,"20 %","Black",0.53
"3:networth.0.53",76360,9404.5273702759,57636.4331800597,95083.5668199403,"25 %","Latino",0.53
"1:networth.0.54",334490,14953.9936872607,302569.383601409,366410.616398591,"57 %","white",0.54
"2:networth.0.54",69782,10164.7198570946,49628.3224759959,89935.6775240041,"21 %","Black",0.54
"3:networth.0.54",82300,11969.3161453939,57390.4171663164,107209.582833684,"49 %","Latino",0.54
"1:networth.0.55",353048,17837.1727644074,315890.21211735,390205.78788265,"49 %","white",0.55
"2:networth.0.55",75034,9781.19525639016,55628.6037367135,94439.3962632865,"22 %","Black",0.55
"3:networth.0.55",89260.4,10393.3588609137,68576.6223140456,109944.177685954,"24 %","Latino",0.55
"1:networth.0.56",371607,19377.2838733242,331126.534592021,412087.465407979,"50 %","white",0.56
"2:networth.0.56",80526,8895.94559744515,62946.0211799484,98105.9788200516,"18 %","Black",0.56
"3:networth.0.56",94238.2,9407.48630981654,75764.6836389479,112711.716361052,"8 %","Latino",0.56
"1:networth.0.57",386726,15927.1648877696,354949.555499737,418502.444500263,"26 %","white",0.57
"2:networth.0.57",84608,8408.10192698588,68100.4263705192,101115.573629481,"8 %","Black",0.57
"3:networth.0.57",97170.2,10487.9272936078,76546.8113733552,117793.588626645,"11 %","Latino",0.57
"1:networth.0.58",401250,13287.4755823837,374378.808052864,428121.191947136,"35 %","white",0.58
"2:networth.0.58",88760,9083.25130326175,70955.7962013668,106564.203798633,"2 %","Black",0.58
"3:networth.0.58",102994,12846.4170279785,77670.1957412984,128317.804258702,"15 %","Latino",0.58
"1:networth.0.59",412478,11947.178316379,387687.506785275,437268.493214725,"47 %","white",0.59
"2:networth.0.59",93426,11442.0935049015,70792.149157738,116059.850842262,"19 %","Black",0.59
"3:networth.0.59",110310,14739.7345299113,81386.6438630099,139233.35613699,"6 %","Latino",0.59
"1:networth.0.6",422470,11631.9735590319,398013.444737239,446926.555262761,"52 %","white",0.6
"2:networth.0.6",99354.2,11722.7986394006,76349.3250781468,122359.074921853,"7 %","Black",0.6
"3:networth.0.6",118444,16592.857137775,85824.4139529396,151063.58604706,"10 %","Latino",0.6
"1:networth.0.61",436952,16477.9356604779,400750.856339578,473153.143660422,"66 %","white",0.61
"2:networth.0.61",103978,12432.2715830535,79335.5621284698,128620.43787153,"21 %","Black",0.61
"3:networth.0.61",129806,17136.6689970534,96124.7511991304,163487.24880087,"10 %","Latino",0.61
"1:networth.0.62",454065,18468.5441325752,413983.180661712,494146.819338288,"62 %","white",0.62
"2:networth.0.62",110964,11877.2164883073,87191.003453184,134736.996546816,"29 %","Black",0.62
"3:networth.0.62",136878,16291.6921224288,104925.000844821,168830.999155179,"5 %","Latino",0.62
"1:networth.0.63",471932,19825.111766394,427877.449683199,515986.550316801,"68 %","white",0.63
"2:networth.0.63",120190,12064.5992762029,95048.9495461448,145331.050453855,"49 %","Black",0.63
"3:networth.0.63",141546,15731.883715482,110679.841944076,172412.158055924,"6 %","Latino",0.63
"1:networth.0.64",496160,30708.1846296139,423526.176908221,568793.823091779,"81 %","white",0.64
"2:networth.0.64",127480,9601.0678357176,108172.861763358,146787.138236642,"32 %","Black",0.64
"3:networth.0.64",149326,16233.1205548641,117416.5896966,181235.4103034,"10 %","Latino",0.64
"1:networth.0.65",527304.8,33829.5321614557,453526.480487188,601083.119512812,"64 %","white",0.65
"2:networth.0.65",132144,9469.5229188483,113014.162853694,151273.837146306,"35 %","Black",0.65
"3:networth.0.65",156796,17096.6575984391,123279.745259094,190312.254740906,"3 %","Latino",0.65
"1:networth.0.66",557064,35055.053791338,484333.721495229,629794.278504771,"47 %","white",0.66
"2:networth.0.66",138429,8644.17338017305,121258.713963385,155599.286036615,"23 %","Black",0.66
"3:networth.0.66",165774,20362.7822869298,125125.461327672,206422.538672328,"27 %","Latino",0.66
"1:networth.0.67",585360,29850.843529967,521828.092244207,648891.907755793,"57 %","white",0.67
"2:networth.0.67",142982,8678.22086807304,125777.035155972,160186.964844028,"21 %","Black",0.67
