"name","results","se","(lower","upper)","missInfo","race","percentile"
"2:income.0.56",53613.2264529058,3123.1105432875,47467.4524224673,59759.0004833443,"12 %","Black",0.56
"3:income.0.56",54045.5911823647,1924.89592240317,50272.8645004665,57818.317864263,"0 %","Latino",0.56
"1:income.0.57",95984.9699398798,2599.24293010813,90691.3802625187,101278.559617241,"39 %","white",0.57
"2:income.0.57",54477.9559118237,3091.96166688207,48392.477793767,60563.4340298803,"12 %","Black",0.57
"3:income.0.57",54045.5911823647,2114.39991760419,49901.4434949461,58189.7388697834,"0 %","Latino",0.57
"1:income.0.58",97498.246492986,2135.59514330352,93253.0906733659,101743.402312606,"23 %","white",0.58
"2:income.0.58",55775.0501002004,3247.06981186298,49298.6742600852,62251.4259403156,"26 %","Black",0.58
"3:income.0.58",54477.9559118237,2523.42841489051,49525.5888547562,59430.3229688911,"7 %","Latino",0.58
"1:income.0.59",99660.0701402806,2225.78721152053,94969.8831549175,104350.257125644,"53 %","white",0.59
"2:income.0.59",57504.5090180361,3433.49412148677,50558.4269880307,64450.5910480414,"35 %","Black",0.59
"3:income.0.59",55991.2324649299,2956.37929984166,50195.0302498503,61787.4346800094,"3 %","Latino",0.59
"1:income.0.6",101821.893787575,2729.05231175376,96020.8226107653,107622.964964385,"56 %","white",0.6
"2:income.0.6",59882.5150300601,3332.130068921,53180.7037006221,66584.3263594981,"32 %","Black",0.6
"3:income.0.6",57936.873747495,3556.42097168015,50922.3448037488,64951.4026912412,"15 %","Latino",0.6
"1:income.0.61",104199.899799599,2443.68864663043,99358.6878668245,109041.111732374,"20 %","white",0.61
"2:income.0.61",61179.6092184369,3245.44225662915,54633.1105830153,67726.1078538585,"34 %","Black",0.61
"3:income.0.61",59882.5150300601,3814.05017271379,52393.6425233295,67371.3875367907,"8 %","Latino",0.61
"1:income.0.62",107010.270541082,2693.42652078019,101481.622450231,112538.918631934,"43 %","white",0.62
"2:income.0.62",62476.7034068136,2992.2722535479,56483.5097532806,68469.8970603466,"29 %","Black",0.62
"3:income.0.62",61395.7915831663,4078.41518872737,53393.8152435492,69397.7679227834,"6 %","Latino",0.62
"1:income.0.63",108955.911823647,2046.13972336748,104877.764573373,113034.059073922,"25 %","white",0.63
"2:income.0.63",63341.4328657315,3034.06525112916,57165.6817573767,69517.1839740862,"39 %","Black",0.63
"3:income.0.63",62909.0681362725,4282.49764221912,54494.0987353975,71324.0375371476,"10 %","Latino",0.63
"1:income.0.64",111052.880761523,2300.53201994756,106175.720215337,115930.041307709,"55 %","white",0.64
"2:income.0.64",64984.4188376753,3110.14952209247,58576.0413749523,71392.7963003984,"44 %","Black",0.64
"3:income.0.64",64854.7094188377,4216.67509425318,56590.1780995944,73119.2407380809,"0 %","Latino",0.64
"1:income.0.65",113711.923847695,2557.4291399355,108338.638990748,119085.208704643,"52 %","white",0.65
"2:income.0.65",65719.4388777555,3470.82996453173,58619.0653554626,72819.8124000484,"41 %","Black",0.65
"3:income.0.65",65503.256513026,4671.92038964191,56309.2717365075,74697.2412895446,"12 %","Latino",0.65
"1:income.0.66",115938.602204409,2519.92783892855,110740.99215589,121136.212252928,"45 %","white",0.66
